2019-12-25,15
2019-12-26,17
2019-12-27,17
2019-12-28,20
2019-12-29,16
2019-12-30,15
2019-12-31,19
2020-01-01,17
2020-01-02,15
2020-01-03,17
2020-01-04,18
2020-01-05,18
2020-01-06,16
2020-01-07,19
2020-01-08,17
2020-01-09,17
2020-01-10,20
2020-01-11,20
2020-01-12,23
2020-01-13,21
2020-01-14,21
2020-01-15,20
2020-01-16,19
2020-01-17,20
2020-01-18,24
2020-01-19,23
2020-01-20,21
2020-01-21,22
2020-01-22,20
2020-01-23,21
2020-01-24,23
2020-01-25,24
2020-01-26,24
2020-01-27,24
2020-01-28,22
2020-01-29,25
2020-01-30,23
2020-01-31,26
2020-02-01,27
2020-02-02,25
2020-02-03,24
2020-02-04,24
2020-02-05,20
2020-02-06,18
2020-02-07,21
2020-02-08,24
2020-02-09,21
2020-02-10,20
2020-02-11,21
2020-02-12,19
2020-02-13,19
2020-02-14,16
2020-02-15,19
2020-02-16,21
2020-02-17,17
2020-02-18,20
2020-02-19,20
2020-02-20,18
2020-02-21,17
2020-02-22,18
2020-02-23,18
2020-02-24,21
2020-02-25,22
2020-02-26,42
2020-02-27,25
2020-02-28,21
2020-02-29,26
2020-03-01,24
2020-03-02,23
2020-03-03,25
2020-03-04,24
2020-03-05,26
2020-03-06,26
2020-03-07,27
2020-03-08,32
2020-03-09,37
2020-03-10,48
2020-03-11,61
2020-03-12,95
2020-03-13,91
2020-03-14,91
2020-03-15,100
2020-03-16,77
2020-03-17,74
2020-03-18,76
2020-03-19,74
2020-03-20,67
2020-03-21,74
2020-03-22,67
